Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
36271,127700.000,6251.000
36354,125400.000,6251.000
36437,130000.000,6776.000
36520,128900.000,6476.000
36603,128500.000,6601.000
36686,126200.000,6876.000
36769,123500.000,5826.000
36852,122200.000,6076.000
36935,125900.000,6201.000
37018,125500.000,6226.000
37101,127900.000,7076.000
37184,127800.000,7151.000
37267,127600.000,6151.000
37350,126900.000,5376.000
37433,127500.000,6226.000
37516,131200.000,6476.000
37599,122900.000,6151.000
37682,129700.000,5826.000
37765,124600.000,6551.000
37848,125200.000,6876.000
37931,126500.000,6376.000
38014,130400.000,5426.000
38097,124400.000,6126.000
38180,127100.000,5626.000
38263,128300.000,6726.000
38346,130900.000,5401.000
38429,124300.000,5951.000
38512,128400.000,5751.000
38595,130600.000,6901.000
38678,126000.000,6401.000
38761,127100.000,5976.000
38844,127400.000,6176.000
38927,127200.000,5801.000
39010,129800.000,6026.000
39093,122800.000,6476.000
39176,122600.000,6026.000
39259,127000.000,5526.000
39342,127100.000,6401.000
39425,126800.000,5601.000
39508,127900.000,5601.000
39591,129200.000,6376.000
39674,129300.000,5751.000
39757,127400.000,7026.000
39840,130800.000,6351.000
39923,126300.000,6126.000
40006,126600.000,6876.000
40089,122300.000,5726.000
40172,127300.000,6576.000
40255,126800.000,6176.000
40338,126500.000,7051.000
40421,126100.000,6751.000
40504,132800.000,6251.000
40587,130500.000,5976.000
40670,130200.000,6126.000
40753,125500.000,6301.000
40836,126100.000,7226.000
40919,129700.000,6226.000
41002,128600.000,6426.000
41085,127900.000,6701.000
41168,126100.000,6201.000
41251,126600.000,6026.000
41334,121200.000,6851.000
41417,126000.000,5701.000
41500,126800.000,6351.000
41583,130700.000,6726.000
41666,123700.000,6576.000
41749,129400.000,5401.000
41832,129300.000,6076.000
41915,126200.000,6476.000
41998,125000.000,6701.000
42081,124700.000,5726.000
42164,122600.000,5901.000
42247,121500.000,6201.000
42330,121100.000,6326.000
42413,123400.000,6426.000
42496,122900.000,5876.000
42579,132400.000,5676.000
42662,120000.000,5601.000
42745,126300.000,6001.000
42828,126900.000,6851.000
42911,125400.000,5826.000
42994,125200.000,6476.000
43077,127300.000,5826.000
43160,119200.000,6401.000
43243,123000.000,5676.000
43326,122400.000,6001.000
43409,128600.000,6301.000
43492,124200.000,5801.000
43575,119700.000,6451.000
43658,121100.000,5826.000
43741,127400.000,6276.000
43824,122000.000,5851.000
43907,129800.000,5751.000
43990,129500.000,6376.000
44073,128600.000,6376.000
44156,126400.000,5676.000
44239,127000.000,6126.000
44322,125200.000,6526.000
44405,121600.000,5851.000
44488,119700.000,5501.000
44571,120900.000,6226.000
44654,116800.000,6026.000
